review_id,rating,review
Ci9DQUlRQUNvZENodHljRjlvT2xwWFRXWTNaMWhYUzA1b2JsQmxhbUoxUTNWa1dHYxAB,5,Le papito jos jisssKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tSU1lYazJaMnhPYlZBMmNGWk5YM1IyVkhoWVJVRRAB,5,Le  Cafe nya gokil banget ada live musicnya jadi nyaman baangetGrup perjalananTemanKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT25GS2NWWkNlRXRsTld4WFNVRkdaR1JuY25WblMxRRAB,5,"tempat nya bagus terutama le papito, juga ada live music, baguss

dilayani dengan kak FathinKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2poWk9HSldVVjlTYTNobWJHdElTRk5oYlhvd1RHYxAB,5,"Lokasinya strategis, tempatnya nyaman dan cozy banget apalagi buat nugas atau nongkrong. Wajib banget sih ke sini, recomended polll🤩🤩‼️‼️

- FathinKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT21KcFlXOWtMVXc1TlRodVgwMHpUMHN0UlVKNk5WRRAB,4,"tempat le papitonya nyaman bgt
ka fatin ramah pol 🫶Kamar: 4Layanan: 4Lokasi: 4"
Ci9DQUlRQUNvZENodHljRjlvT2psRlpuWnBjVlZ3WmpFM09WOHhjVEZpUW5ablNsRRAB,5,le pappito enak makanan sama minuman dan suasana nya juga seruuu bgtt
Ci9DQUlRQUNvZENodHljRjlvT2pOak1HWk9jVUl4VUhGb1pXMDRWblJCVERkalJWRRAB,5,novelia nasywa dan asa sangat bagus rapi bersih cantikKamar: 5Layanan: 5Lokasi: 5
Ci9DQUlRQUNvZENodHljRjlvT2tabldtTmpabmRYWWs5MVl6aGFVVGRVTFZNeU4yYxAB,5,"novelia dan nasywa dan asa melagani, dengan baikKamar: 5Layanan: 5Lokasi: 5"
ChZDSUhNMG9nS0VJQ0FnSUNGeDdhRVNREAE,5,"Makanan enak dan bervariasi  dan pelayanan dari mba nasywa  baik dan menraik, ramah dan tempat nyaman untuk BappenasKamar: 5Layanan: 5Lokasi: 5"
Ci9DQUlRQUNvZENodHljRjlvT2pKS1ZFbHNSM1o1TFV0NWRYZDVNMFp0UjNNdFRVRRAB,5,Pelayanannya baik dg mba lisa dan makanannya enakKamar: 5Layanan: 5Lokasi: 5
